'a'du 阿杜
'wang'jing'hua 王菁华
'wang'jue 王珏
'wang'jun 王钧
'wang'li'da 王丽达
'wang'li'hong 王力宏
'wang'rong 王蓉
'wang'si'si 王思思
'wang'si'yi 王思懿
'wang'tong'hui 王同辉
'wang'wei 王伟
'wang'xiao'shuai 王小帅
'wang'xiao'ya 王小丫
'wang'xin'ling 王心凌
'wang'xue'bing 王学兵
'wang'ya'jie 王雅捷
'wang'ya'nan 王亚楠
'wang'zhi'wen 王志文
'wang'zi'ming 王子鸣
'wang'zu'xian 王祖贤
'wei'wei 韦唯
'wen'bi'xia 温碧霞
'wen'wen 温雯
'wen'zhao'lun 温兆伦
'weng'hong 翁虹
'weng'mei'ling 翁美玲
'wu'bai 伍佰
'wu'chen'jun 吴辰君
'wu'da'wei 吴大维
'wu'hao'kang 吴浩康
'wu'jian'hao 吴建豪
'wu'jing 吴京
'wu'jun 吴军
'wu'jun'ru 吴君如
'wu'ke'qun 吴克群
'wu'pei'ci 吴佩慈
'wu'qi'hua 吴启华
'wu'qi'long 吴奇隆
'wu'qian'guo 吴千国
'wu'qian'lian 吴倩莲
'wu'qian'qian 吴芊芊
'wu'ruo'fu 吴若甫
'wu'shi'xian 伍仕贤
'wu'tong 吴彤
'wu'xiao'li 吴小莉
'wu'xin 吴昕
'wu'yan'zu 吴彦祖
'wu'yu'sen 吴宇森
'wu'yue'tian 五月天
'wu'zhen'yu 吴镇宇
'wu'zong'xian 吴宗宪
'xi'mei'juan 奚美娟
'xi'ya 希亚
'xia'yu 夏雨
'xiao'nan 啸喃
'xiao'qiang 萧蔷
'xiao'ya'xuan 萧亚轩
'xiao'zheng'nan 萧正楠
'xie'dong'na 谢东娜
'xie'fei 谢飞
'xie'tian 谢添
'xie'ting'feng 谢霆锋
'xie'yu'xin 谢雨欣
'xin'bai'qing 辛柏青
'xin'hui'yuan 辛惠媛
'xin'yue'tuan 信乐团
'xiong'qi 熊琪
'xiu'qing 修庆
'xu'fan 徐帆
'xu'hai'huan 许还幻
'xu'huai'yu 徐怀钰
'xu'hui'xin 许慧欣
'xu'jing'lei 徐静蕾
'xu'jun 徐筠
'xu'ke 徐克
'xu'qing 许晴
'xu'ru'yun 许茹芸
'xu'ruo 徐若
'xu'shao'yang 许绍洋
'xu'wei 许巍
'xu'xi'di 徐熙娣
'xu'xi'yuan 徐熙媛
'xu'xiao'feng 徐小凤
'xu'yang 徐洋
'xu'zheng 徐峥
'xu'zhi'an 许志安
'xue'cun 雪村
'xue'kai'qi 薛凯琪
'yan'cheng'xu 言承旭
'yan'qing'yu 阎青妤
'yan'yuan'li'jing 演员李静
'yan'zhi'lin 颜志琳
'yang'cai'ni 杨采妮
'yang'cheng'lin 杨丞琳
'yang'fang'han 杨钫涵
'yang'gong'ru 杨恭如
'yang'kun 杨坤
'yang'lan 杨澜
'yang'li'xiao 杨丽晓
'yang'mi 杨幂
'yang'qi 杨淇
'yang'qian 杨千
'yang'ruo'xi 杨若兮
'yang'xin 杨欣
'yang'xue 杨雪
'yang'yu'ting 杨雨婷
'yang'yu'ying 杨钰莹
'yang'zi 杨子
'yang'zi 杨紫
'yang'zi'qiong 杨紫琼
'ye'bei 叶蓓
'ye'qian'wen 叶倩文
'ye'quan'zhen 叶全真
'ye'tong 叶童
'ye'xuan 叶璇
'yi'neng'jing 伊能静
'yin'tao 殷桃
'ying'cai'er 应采儿
'you'hong'ming 游鸿明
'you'qiu'xing 尤秋兴
'you'yong 尤勇
'yu'cheng'qing 庾澄庆
'yu'fei'hong 俞飞鸿
'yu'na 于娜
'yu'quan 羽泉
'yu'tai'yan 于台烟
'yu'wen'hua 于文华
'yu'wen'le 余文乐
'yu'xiao'wei 于小伟
'yuan'li 袁立
'yuan'qiu 元秋
'yuan'quan 袁泉
'yuan'wen'kang 袁文康
'yuan'yong'yi 袁咏仪
'yue'yue 岳跃
'zang'tian'shuo 臧天朔
'zeng'bao'yi 曾宝仪
'zeng'li 曾黎
'zeng'zhi'wei 曾志伟
'zhan'rui'wen 詹瑞文
'zhan'zhao 展昭
'zhang'ai'jia 张艾嘉
'zhang'bai'zhi 张柏芝
'zhang'dan'lu 张丹露
'zhang'feng'yi 张丰毅
'zhang'guo'li 张国立
'zhang'guo'rong 张国荣
'zhang'han'yun 张含韵
'zhang'hui'mei 张惠妹
'zhang'ji'zhong 张纪中
'zhang'jia'hui 张家辉
'zhang'jing'chu 张静初
'zhang'jing'dong 张静东
'zhang'jing'xuan 张敬轩
'zhang'ke'yi 张可颐
'zhang'lan'lan 张澜澜
'zhang'li'yin 张力尹
'zhang'liang'ying 张靓颖
'zhang'man'yu 张曼玉
'zhang'shao'han 张韶涵
'zhang'tao 张涛
'zhang'tie'lin 张铁林
'zhang'ting 张婷
'zhang'ting 张庭
'zhang'wei'jian 张卫健
'zhang'wei'ping 张伟平
'zhang'xiang'yi 张湘怡
'zhang'xiao'hui 章小蕙
'zhang'xin'zhe 张信哲
'zhang'xue'you 张学友
'zhang'yan 张延
'zhang'yang 张扬
'zhang'yao 张瑶
'zhang'yi'mou 张艺谋
'zhang'yu 张宇
'zhang'zhi'lin 张智霖
'zhang'zi'yi 章子怡
'zhao'bao'gang 赵宝刚
'zhao'ben'shan 赵本山
'zhao'chuan 赵传
'zhao'lin 赵琳
'zhao'wei 赵薇
'zhao'wen'zhuo 赵文卓
'zhao'ya'zhi 赵雅芝
'zhao'zhong'xiang 赵忠祥
'zhen'zi'dan 甄子丹
'zheng'hao 郑昊
'zheng'jun 郑钧
'zheng'pei'pei 郑佩佩
'zheng'xi'yi 郑希怡
'zheng'xiao'dong 郑晓东
'zheng'xiu'wen 郑秀文
'zheng'yi'jian 郑伊健
'zheng'yu'ling 郑裕玲
'zheng'yuan'chang 郑元畅
'zhong'chu'hong 钟楚红
'zhong'han'liang 钟汉良
'zhong'li'ti 钟丽缇
'zhong'zhen'tao 钟镇涛
'zhou'chuan'xiong 周传雄
'zhou'hai'mei 周海媚
'zhou'hua'jian 周华健
'zhou'hui 周蕙
'zhou'hui'min 周慧敏
'zhou'jie 周杰
'zhou'jie'lun 周杰伦
'zhou'run'fa 周润发
